,Actor,Nominations,Wins,Sum
325,James Coco,1,0,1.0
326,James Cromwell,1,0,1.0
327,James Dean,2,0,2.0
328,James Dunn,0,1,2.0
329,James Earl Jones,1,0,1.0
330,James Gleason,1,0,1.0
331,James Mason,3,0,3.0
332,James Stephenson,1,0,1.0
333,James Stewart,4,1,6.0
334,James Whitmore,2,0,2.0
335,James Woods,1,0,1.0
336,Jamie Foxx,1,0,1.0
337,Jan Sterling,1,0,1.0
338,Jane Alexander,3,0,3.0
339,Jane Darwell,0,1,2.0
340,Jane Fonda,2,1,4.0
341,Jane Wyman,3,1,5.0
342,Janet Gaynor,1,1,3.0
343,Janet Leigh,1,0,1.0
344,Janet McTeer,1,0,1.0
345,Janet Suzman,1,0,1.0
346,Jared Leto,0,1,2.0
347,Jason Miller,1,0,1.0
348,Jason Robards,1,2,5.0
349,Javier Bardem,0,1,2.0
350,Jaye Davidson,1,0,1.0
351,Jean Arthur,1,0,1.0
352,Jean Hagen,1,0,1.0
353,Jean Simmons,2,0,2.0
354,Jeanne Crain,1,0,1.0
355,Jeanne Eagels,1,0,1.0
356,Jeannie Berlin,1,0,1.0
357,Jeff Bridges,3,0,3.0
358,Jeff Chandler,1,0,1.0
359,Jennifer Connelly,0,1,2.0
360,Jennifer Hudson,0,1,2.0
361,Jennifer Jason Leigh,1,0,1.0
362,Jennifer Jones,4,1,6.0
363,Jennifer Lawrence,1,0,1.0
364,Jennifer Tilly,1,0,1.0
365,Jeremy Renner,1,0,1.0
366,Jessica Chastain,1,0,1.0
367,Jessica Lange,0,1,2.0
368,Jessica Tandy,1,0,1.0
369,Jim Broadbent,0,1,2.0
370,Jo Van Fleet,0,1,2.0
371,Joan Allen,2,0,2.0
372,Joan Blondell,1,0,1.0
373,Joan Crawford,2,1,4.0
374,Joan Cusack,2,0,2.0
375,Joan Fontaine,2,1,4.0
376,Joan Hackett,1,0,1.0
377,Joan Lorring,1,0,1.0
378,Joan Plowright,1,0,1.0
379,Joanne Woodward,2,1,4.0
380,Joaquin Phoenix,1,0,1.0
381,Jocelyne Lagarde,1,0,1.0
382,Jodie Foster,1,0,1.0
383,Joe Mantell,1,0,1.0
384,Joe Pesci,1,1,3.0
385,Joel Grey,0,1,2.0
386,John C. Reilly,1,0,1.0
387,John Cassavetes,1,0,1.0
388,John Dall,1,0,1.0
389,John Garfield,2,0,2.0
390,John Gielgud,1,1,3.0
391,John Hawkes,1,0,1.0
392,John Houseman,0,1,2.0
393,John Hurt,1,0,1.0
394,John Huston,1,0,1.0
