,Actor,Nominations,Wins,Sum
565,Mikhail Baryshnikov,1,0,1.0
566,Mildred Dunnock,2,0,2.0
567,Mildred Natwick,1,0,1.0
568,Miliza Korjus,1,0,1.0
569,Minnie Driver,1,0,1.0
570,Mira Sorvino,0,1,2.0
571,Miranda Richardson,1,0,1.0
572,Miriam Hopkins,1,0,1.0
573,Mischa Auer,1,0,1.0
574,Miyoshi Umeki,0,1,2.0
575,Mo'Nique,0,1,2.0
576,Montgomery Clift,4,0,4.0
577,Monty Woolley,2,0,2.0
578,Morgan Freeman,1,1,3.0
579,Nancy Carroll,1,0,1.0
580,Nancy Kelly,1,0,1.0
581,Nancy Olson,1,0,1.0
582,Natalie Portman,1,0,1.0
583,Natalie Wood,3,0,3.0
584,Ned Beatty,1,0,1.0
585,Nick Adams,1,0,1.0
586,Nick Nolte,1,0,1.0
587,Nina Foch,1,0,1.0
588,Noriyuki 'Pat' Morita,1,0,1.0
589,Norma Aleandro,1,0,1.0
590,Norma Shearer,5,1,7.0
591,Octavia Spencer,0,1,2.0
592,Olivia de Havilland,3,2,7.0
593,Olympia Dukakis,0,1,2.0
594,Omar Sharif,1,0,1.0
595,Oprah Winfrey,1,0,1.0
596,Orson Welles,1,0,1.0
597,Oscar Homolka,1,0,1.0
598,Oskar Werner,1,0,1.0
599,Patricia Arquette,0,1,2.0
600,Patricia Clarkson,1,0,1.0
601,Patricia Collinge,1,0,1.0
602,Patricia Neal,1,1,3.0
603,Patty Duke,0,1,2.0
604,Patty McCormack,1,0,1.0
605,Paul Giamatti,1,0,1.0
606,Paul Lukas,0,1,2.0
607,Paul Muni,5,1,7.0
608,Paul Newman,5,0,5.0
609,Paul Scofield,1,1,3.0
610,Paul Winfield,1,0,1.0
611,Paulette Goddard,1,0,1.0
612,Peggy Ashcroft,0,1,2.0
613,Peggy Cass,1,0,1.0
614,Peggy Lee,1,0,1.0
615,Peggy Wood,1,0,1.0
616,Penelope Milford,1,0,1.0
617,Penélope Cruz,1,1,3.0
618,Pete Postlethwaite,1,0,1.0
619,Peter Falk,2,0,2.0
620,Peter Finch,1,0,1.0
621,Peter Firth,1,0,1.0
622,Peter O'Toole,5,0,5.0
623,Peter Sellers,1,0,1.0
624,Peter Ustinov,1,2,5.0
625,Philip Seymour Hoffman,3,0,3.0
626,Piper Laurie,3,0,3.0
627,Queen Latifah,1,0,1.0
628,Quinn Cummings,1,0,1.0
